doc_id,dominant topic
0,9
1,6
2,6
3,2
4,9
5,2
6,6
7,5
8,9
9,9
10,5
11,9
12,9
13,9
14,9
15,8
16,3
17,2
18,5
19,1
20,6
21,6
22,9
23,6
24,0
25,6
26,5
27,9
28,5
29,5
30,9
31,6
32,3
33,4
34,6
35,9
36,0
37,4
38,0
39,5
40,5
41,0
42,0
43,5
44,9
45,5
46,2
47,9
48,1
49,1
50,1
51,1
52,7
53,2
54,2
55,6
56,7
57,5
58,6
59,7
60,7
61,7
62,2
63,7
64,7
65,4
66,7
67,9
68,2
69,2
70,7
71,5
72,2
73,5
74,7
75,5
76,6
77,1
78,8
79,7
80,0
81,7
82,3
83,7
84,3
85,3
86,8
87,2
88,2
89,0
90,2
91,2
92,7
93,2
94,2
95,2
96,2
97,2
98,2
99,0
100,2
101,3
102,8
103,2
104,8
105,2
106,7
107,8
108,2
109,2
110,2
111,2
112,2
113,7
114,2
115,2
116,2
117,2
118,2
119,8
120,3
121,2
122,2
123,2
124,3
125,2
126,2
127,8
128,2
129,2
130,2
131,3
132,3
133,2
134,2
135,2
136,3
137,0
138,2
139,3
140,3
141,8
142,2
143,2
144,3
145,3
146,7
147,3
148,2
149,2
150,2
151,3
152,3
153,3
154,2
155,0
156,2
157,3
158,3
159,8
160,6
161,2
162,2
163,3
164,2
165,2
166,2
167,6
168,3
169,3
170,2
171,3
172,2
173,6
174,2
175,0
176,3
177,2
178,6
179,7
180,3
181,0
182,2
183,2
184,3
185,3
186,3
187,2
188,3
189,2
190,2
191,3
192,2
193,3
194,6
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,7
203,2
204,2
205,1
206,3
207,2
208,1
209,7
210,2
211,3
212,2
213,2
214,2
215,3
216,2
217,9
218,4
219,2
220,2
221,6
222,2
223,2
224,6
225,2
226,3
227,2
228,3
229,8
230,2
231,2
232,2
233,2
234,2
235,7
236,6
237,8
238,3
239,3
240,6
241,2
242,6
243,7
244,3
245,6
246,2
247,2
248,3
249,6
250,7
251,2
252,7
253,2
254,2
255,2
256,4
257,6
258,2
259,3
260,2
261,2
262,2
263,2
264,3
265,3
266,2
267,9
268,2
269,8
270,3
271,2
272,3
273,6
274,6
